time,dataset,method,ood_method,intent_num_acc,AUROC,FPR95,AUPROUT,AUPRIN,args,valid_ood,test_ood
,,,,,,,,,,,
,,,,,,,,,,,
2022/10/22 20:36,multiwoz23,lof,nn_euler,,0.950678514,0.245743212,0.953474152,0.936161982,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=0, split_index=2, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart,Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food"
2022/10/22 21:37,multiwoz23,lof,nn_euler,,0.951467182,0.276115969,0.954409587,0.935193213,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=1, split_index=2, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart,Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food"
2022/10/22 22:31,multiwoz23,lof,nn_euler,,0.953050103,0.26783249,0.956352292,0.940064374,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=2, split_index=2, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart,Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food"
2022/10/22 23:25,multiwoz23,lof,nn_euler,,0.949541663,0.283479061,0.956298229,0.934570771,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=3, split_index=2, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart,Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food"
2022/10/23 0:19,multiwoz23,lof,nn_euler,,0.952415571,0.247123792,0.959313213,0.936609471,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=4, split_index=2, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart,Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food"
2022/10/23 1:26,multiwoz23,lof,nn_euler,,0.960942594,0.181316153,0.94518973,0.968437102,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=0, split_index=3, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart"
2022/10/23 2:37,multiwoz23,lof,nn_euler,,0.963849551,0.184537506,0.95039568,0.969893164,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=1, split_index=3, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart"
2022/10/23 3:38,multiwoz23,lof,nn_euler,,0.964128246,0.204325817,0.95059646,0.969963059,"Namespace(batch_size=4, bert_lr=1e-05, bert_path='/cfs/cfs-fwcdwxrr/zifengcheng/bert', dataset='multiwoz23', device=device(type='cuda'), early_stop=5, epoch=100, gpu=0, hidden_size=768, ind_intent_num=47, intent='data/multiwoz23/intent.csv', l1=1, l3=0, lr=0.001, method='lof', ood_method='nn_euler', param_dir='params/', save_threshold=0.99, seed=2, split_index=3, test='data/multiwoz23/test.csv', train='data/multiwoz23/train.csv', valid='data/multiwoz23/valid.csv')","Request-Train-Ticket,OfferBook-Train-none,Request-Train-Leave,Inform-Train-Depart,OfferBooked-Train-Dest,Inform-Train-Leave,NoOffer-Train-Depart,Request-Train-People,Inform-Train-none,Inform-Train-Id,Request-Train-Arrive,Inform-Train-Dest,Request-Train-Day,Request-Train-Time,Inform-Train-Day,OfferBooked-Train-Arrive,Request-Train-Id,Inform-Train-People,Request-Train-Dest,Inform-Train-Arrive,Inform-Train-Ticket,OfferBooked-Train-Ref,OfferBooked-Train-Id,NoOffer-Train-none,Request-Train-Depart,Request-Train-Ref,Inform-Restaurant-Day,Request-Restaurant-Area,Inform-Restaurant-Name,Inform-Restaurant-Price,Request-Restaurant-Ref,Inform-Restaurant-none,Request-Restaurant-Post,Inform-Restaurant-Addr,NoOffer-Restaurant-none,Inform-Restaurant-People,Request-Restaurant-Name,Request-Restaurant-Food,Select-Restaurant-none,Request-Restaurant-Phone,Inform-Restaurant-Choice,Inform-Restaurant-Area,Request-Restaurant-Addr,Inform-Restaurant-Time,Request-Restaurant-Price,Inform-Restaurant-Food","Request-Hotel-Internet,Inform-Hotel-Choice,Inform-Hotel-Stars,Recommend-Hotel-Name,Inform-Hotel-Parking,Request-Hotel-Name,Request-Hotel-Stars,Request-Hotel-Type,Request-Hotel-Ref,Inform-Hotel-Internet,Request-Hotel-Addr,Inform-Hotel-Price,Inform-Hotel-Name,Inform-Hotel-Area,Request-Hotel-Parking,Inform-Hotel-Type,Request-Hotel-Area,Inform-Hotel-Day,Inform-Hotel-none,Inform-Hotel-Stay,Request-Hotel-Post,Select-Hotel-none,Request-Hotel-Phone,NoOffer-Hotel-none,Inform-Hotel-Addr,Request-Hotel-Price,Inform-Hotel-People,Inform-Taxi-Arrive,Inform-Taxi-Dest,Request-Taxi-Phone,Request-Taxi-Dest,Inform-Taxi-Car,Inform-Taxi-none,Request-Taxi-Depart,Request-Taxi-Car,Request-Taxi-Arrive,Request-Taxi-Leave,Inform-Taxi-Leave,Inform-Taxi-Depart"
